PlasmoDB geneID,Early troph._mRNArpkM,Late troph._mRNArpkM
mal8p1.57,83.45155464,51.24705338
pf14_0633,208.0895331,146.4566215
pfe0865c,752.7922626,618.5646099
pfa0660w,63.75234103,NULL
pfi0590c,34.69619162,31.24521046
pff0695w,215.1522023,119.5840312
mal8p1.132,NULL,NULL
pf10_0293,125.1064602,96.0127349
pf13_0076,456.3179944,209.6792087
pf11_0230,NULL,NULL
pf14_0477,146.2489116,91.19660685
pfe0305w,NULL,NULL
pf10_0378,NULL,NULL
pfc0075c,NULL,NULL
pf13_0175,179.6529126,57.64971306
pfc0805w,119.2467637,95.84473773
pf11_0169,108.8120051,NULL
pf14_0553,188.9507312,90.86748985
pfl1490w,39.61131647,22.14170351
pfb0285c,48.83799201,26.42060115
pff0450c,79.55401563,39.40188764
pfl0675c,178.5727086,81.63231944
mal13p1.122,20.47326985,14.50511949
pff0325c,36.69559061,24.1176407
mal8p1.63,56.63646269,NULL
mal7p1.27,172.024528,68.72814973
pfi0325c,570.6625867,179.1831552
pff1240w,53.19583182,25.67891001
pf11_0418,62.22279855,21.48382961
pfc0410w,NULL,NULL
pf14_0117,66.18921059,36.15094807
pf11_0302,2383.445598,811.3714118
pfd0905w,108.8409082,61.0496343
pf10_0219,91.73672816,54.14253864
pfc0450w,288.4442112,235.44148
pf14_0432,177.3248087,NULL
pfc0445w,329.4301888,319.1119739
pf14_0015,88.1723816,NULL
pfi0625c,90.31657737,48.68860149
pf11_0192,37.60035253,26.50524785
pf13_0044,279.334802,153.1649777
pf14_0437,523.8287837,309.8387004
pfl1410c,65.35930339,39.90623766
pf07_0103,160.9189601,NULL
pf08_0055,140.3043534,48.2007015
pfc0080c,235.6453888,65.74983025
mal13p1.179,46.36585735,35.05773965
pf08_0137,259.9586786,45.70040668
pf14_0670,NULL,NULL
pff0830w,69.85109454,52.6358361
pfe1320w,57.09182898,45.14675704
pff0725w,NULL,NULL
pf14_0610,42.49210939,NULL
pfd0485w,92.42460984,66.05399549
